Date,Opponent,At CCSF,CCSF 1Q,CCSF 2Q,CCSF 3Q,CCSF 4Q,CCSF OT,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q,Opp OT,YDS,PASS,C-A,COMP %,RUSH,R,Y/R,INT,FUM,TACK,SAC,PEN YDS,TOP
Sep 7,Santa Rosa,FALSE,7,7,7,0,0,14,10,7,3,0,333,150,14-31,45%,183,36,5.1,#N/A,1,75,1,120,26:56
Sep 14,Sequoias,TRUE,7,10,7,0,0,7,14,0,6,0,285,155,9-27,33%,130,29,4.5,#N/A,1,102,0,121,31:53
Sep 21,Butte,TRUE,7,0,7,0,0,10,14,0,6,0,234,151,17-25,68%,83,30,2.8,#N/A,2,55,2,113,27:56
Sep 28,Fresno,FALSE,0,7,0,0,0,7,7,0,7,0,190,59,4-10,40%,131,29,4.5,2,#N/A,69,5,45,25:07
Oct 5,Sierra,FALSE,7,14,7,7,0,7,21,7,8,0,481,145,8-22,36%,336,40,8.4,#N/A,2,82,1,104,26:40
Oct 19,San Joaquin Delta,TRUE,14,10,7,0,0,0,0,0,0,0,462,71,6-22,27%,391,48,8.1,2,1,55,4,99,33:48
Oct 25,Laney,FALSE,14,10,7,7,0,0,0,0,7,0,284,117,6-13,46%,167,40,4.2,3,1,54,4,68,26:33
Nov 2,San Mateo,TRUE,7,0,0,0,0,14,17,10,10,0,161,59,4-13,31%,102,46,2.2,#N/A,1,45,1,113,33:48
Nov 9,Foothill,FALSE,7,7,7,3,0,14,14,3,7,0,289,188,17-27,63%,101,30,3.4,1,1,58,0,103,30:00
Nov 16,Diablo Valley,TRUE,7,7,7,7,0,0,7,3,14,0,286,122,6-8,75%,164,38,4.3,1,#N/A,64,3,41,24:28